,wind_mph,lat,lon
1378,13.14,41.950683,-124.097094
1380,13.13,33.927561,-117.887086
1381,13.12,37.885629,-122.46858
1383,13.12,34.105282,-117.662035
1384,13.11,36.57469,-121.840854
1385,13.11,34.571218,-117.133073
1386,13.11,36.644737,-119.289181
1388,13.09,40.674987,-124.231146
1389,13.07,37.042254,-121.930051
1390,13.06,35.960636,-119.312992
1391,13.06,33.999005,-117.972146
1392,13.06,39.199469,-123.702253
1393,13.06,34.072329,-117.698315
1394,13.04,34.155533,-118.086178
1395,13.03,34.194489,-118.138263
1396,13.03,34.407332,-117.911841
1398,13.02,34.165356,-118.123751
1399,13.02,40.666691,-123.908396
1400,13.01,34.09741,-117.968269
1401,13.00,34.042286,-117.756106
1402,12.99,34.083016,-117.073317
1403,12.99,37.031475,-121.98334
1404,12.99,34.093661,-116.936222
1405,12.98,35.044396,-120.620199
1406,12.97,37.943257,-122.492151
1407,12.96,34.136258,-118.026704
1409,12.94,36.391777,-119.372842
1410,12.93,33.142077,-116.106046
1411,12.93,37.769436,-122.447662
1412,12.92,37.758057,-122.43541
1416,12.91,34.004468,-117.684697
1417,12.90,37.0067,-121.878207
1418,12.89,35.988087,-118.860221
1423,12.88,34.128284,-118.047732
1424,12.87,34.032301,-117.010574
1428,12.85,34.295652,-118.897875
1430,12.84,37.750021,-122.415201
1431,12.83,34.122671,-118.112911
1435,12.81,36.056587,-118.568462
1436,12.81,37.675731,-122.133017
1438,12.79,34.59448,-117.813666
1440,12.79,34.067146,-117.171885
1441,12.78,33.963723,-117.738596
1442,12.78,39.487185,-123.741963
1446,12.76,34.510646,-116.896718
1447,12.75,34.07342,-118.015345
1449,12.74,33.896339,-117.796416
1450,12.74,34.126779,-117.183104
1453,12.72,34.253816,-117.150891
1455,12.72,34.259971,-117.199381
1456,12.70,34.137564,-117.599945
1457,12.70,39.366146,-123.804985
1458,12.70,34.139402,-118.128658
1459,12.69,33.942708,-117.952483
1460,12.69,34.102077,-118.057754
1462,12.69,34.05941,-117.674011
1464,12.68,36.789273,-119.140345
1465,12.68,34.254361,-117.326453
1472,12.67,33.990372,-117.052255
1475,12.66,34.146671,-118.139455
1476,12.66,34.090728,-118.127527
1477,12.65,34.144618,-117.301301
1478,12.64,34.078573,-118.043456
1498,12.64,34.212805,-118.882179
1499,12.64,34.169538,-118.164941
1500,12.64,33.885514,-117.730164
1501,12.64,34.441596,-118.448109
1502,12.64,34.115273,-118.088266
1504,12.63,34.193326,-118.818684
1505,12.62,34.237898,-117.234788
1506,12.61,34.226083,-117.225931
1509,12.60,33.901886,-117.916639
1510,12.60,32.648992,-116.152565
1511,12.59,34.326584,-118.382261
1512,12.59,37.018419,-121.554249
1513,12.58,34.177083,-117.254763
1515,12.56,34.21474,-117.192326
1527,12.54,34.122501,-117.320138
1530,12.54,34.270601,-116.949309
1533,12.54,37.785969,-122.437253
1534,12.53,33.842584,-116.2929
1535,12.52,36.547067,-119.335641
1536,12.52,34.152583,-117.577707
1537,12.52,34.090776,-118.095091
1538,12.51,34.212433,-117.381239
1539,12.51,34.00784,-118.030271
1540,12.51,34.495537,-117.756645
1541,12.50,34.107379,-117.297547
1542,12.50,34.104794,-117.29215
1543,12.50,34.046243,-118.053748
1548,12.46,34.222119,-118.205306
1550,12.45,34.232796,-116.902863
1551,12.44,37.978138,-122.497611
1552,12.44,36.724723,-119.192779
1553,12.42,34.506627,-118.699048
1554,12.42,33.972782,-118.022066
1557,12.40,33.753959,-116.246487
1558,12.39,34.402521,-117.766066
1559,12.39,34.340222,-116.540435
1561,12.38,36.970525,-121.987488
1562,12.38,36.874755,-121.630732
1564,12.38,34.074736,-118.145959
1565,12.37,34.083458,-117.270016
1569,12.36,34.074087,-117.605618
1571,12.35,33.641767,-116.273943
1572,12.34,34.172754,-117.521243
1573,12.33,34.243482,-117.281304
1574,12.33,37.713275,-122.16735
1575,12.33,34.051177,-117.248563
1576,12.32,34.065493,-118.084529
1577,12.30,32.67807,-116.306851
1578,12.29,33.945555,-117.990719
1581,12.27,35.176043,-120.476694
1583,12.27,34.10097,-117.57882
1584,12.26,34.205287,-117.117403
1585,12.26,36.976175,-121.95316
1588,12.24,33.868649,-117.929055
1590,12.23,34.530199,-119.310133
1591,12.23,34.059306,-117.390768
1592,12.23,36.05438,-119.150397
1593,12.23,33.82233,-116.364238
1594,12.23,34.13946,-118.166649
1595,12.22,33.950295,-118.024352
1596,12.22,34.473884,-118.797181
1597,12.22,34.236643,-117.062838
1598,12.21,34.011953,-117.159699
1599,12.21,34.141671,-116.817981
1600,12.20,34.237229,-116.827695
1601,12.20,34.108957,-118.156615
1604,12.18,34.050965,-118.114394
1606,12.16,34.211341,-118.230652
1607,12.16,34.261962,-118.336078
1612,12.14,36.503322,-119.286328
1613,12.14,34.222079,-116.564222
1614,12.13,35.185911,-120.731793
1616,12.12,34.147718,-117.464506
1621,12.10,36.37559,-119.211689
1623,12.09,36.772382,-118.935666
1624,12.09,34.404104,-118.897776
1625,12.08,37.790438,-122.140819
1627,12.06,36.769389,-121.667532
1628,12.05,33.881158,-117.854783
1629,12.04,36.61441,-121.786901
1632,12.04,33.818256,-116.466743
1634,12.03,34.465755,-118.553789
1636,12.02,34.136077,-118.888919
1637,12.02,34.261092,-116.809496
1638,12.01,33.879768,-117.89634
1639,12.01,34.440891,-118.501747
1640,12.00,34.157763,-117.405966
1641,12.00,33.915839,-116.559873
1642,12.00,37.840961,-122.109502
1644,12.00,34.052922,-118.143465
1645,12.00,33.692217,-116.341248
1646,11.99,36.15118,-119.049222
1647,11.99,34.035602,-117.591528
1648,11.98,39.683707,-123.741609
1649,11.98,33.927691,-118.013828
1651,11.96,34.160359,-118.213769
1652,11.96,34.031011,-117.312929
1653,11.96,40.726752,-124.217378
1654,11.94,34.184975,-118.766918
1655,11.94,35.23575,-120.615973
1656,11.93,34.114708,-118.192098
1657,11.93,32.654821,-116.465541
1658,11.93,33.95154,-116.520104
1660,11.90,33.576212,-117.730368
1661,11.88,34.015444,-118.111012
1662,11.88,33.708012,-116.403627
1663,11.87,36.46271,-119.093242
1664,11.87,34.049809,-117.470613
1665,11.87,33.996484,-117.531269
1667,11.85,34.085972,-117.464597
1668,11.83,40.738322,-124.107619
1669,11.83,37.800934,-122.438366
1670,11.82,34.111605,-117.377406
1671,11.82,36.389827,-119.219896
1672,11.82,36.69718,-119.022995
1673,11.81,33.856459,-117.740176
1674,11.81,34.077059,-116.606626
1675,11.81,33.765401,-116.334205
1676,11.80,33.645736,-117.685503
1677,11.80,36.60076,-119.175485
1678,11.80,36.206269,-119.071075
1679,11.80,34.02452,-117.289255
1680,11.78,33.952902,-117.639325
1681,11.77,33.977272,-118.066363
1682,11.76,33.219365,-116.535247
1683,11.75,37.994038,-122.282589
1686,11.75,33.788145,-117.87655
1687,11.75,32.866646,-116.448325
1688,11.74,34.258405,-118.775026
1689,11.73,34.236302,-118.249185
1691,11.72,33.830457,-117.905941
1692,11.72,35.3012,-120.660937
1696,11.71,32.735124,-116.415161
1697,11.71,33.591304,-117.697512
1698,11.71,33.99504,-117.373184
1699,11.70,33.848733,-117.788357
1700,11.69,33.57093,-117.773042
1701,11.69,34.175969,-118.945127
1702,11.68,33.925311,-117.607297
1703,11.67,33.624456,-117.781423
1704,11.67,34.181293,-118.260277
1705,11.67,37.736529,-122.179445
1706,11.66,33.768584,-116.429988
1707,11.66,33.844983,-117.952151
1709,11.65,36.622507,-118.957187
1710,11.64,34.137412,-118.207607
1711,11.64,32.846363,-116.557729
1712,11.64,35.165671,-120.655844
1714,11.63,34.294615,-118.507001
1715,11.62,34.36811,-118.489038
1717,11.61,34.168366,-118.267771
1719,11.61,33.765301,-117.881976
1720,11.61,33.925519,-117.551958
1722,11.60,33.948255,-116.987839
1724,11.58,33.787165,-117.931889
1725,11.58,34.2044,-118.287527
1754,11.57,33.879329,-117.961752
1755,11.57,33.818246,-117.974985
1770,11.56,37.686491,-122.157201
1772,11.56,33.874224,-117.993368
1773,11.55,36.245404,-118.693313
1779,11.55,40.855694,-124.066898
1780,11.55,33.989524,-118.089299
1781,11.54,33.611945,-117.665867
1782,11.54,34.078195,-118.185501
1783,11.53,37.779588,-122.419318
1784,11.53,33.784615,-117.844774
1785,11.53,33.80098,-117.843772
1786,11.52,33.612925,-117.731443
1787,11.52,34.003266,-117.442004
1788,11.51,33.826393,-117.851307
1789,11.51,33.970847,-117.32512
1793,11.50,37.773134,-122.411167
1794,11.50,36.686845,-121.786887
1795,11.49,34.185666,-118.239494
1796,11.49,33.528868,-117.701175
1797,11.49,33.81763,-117.810046
1800,11.48,37.840645,-122.114877
1801,11.48,37.761408,-122.150198
1802,11.47,33.860925,-116.566176
1803,11.47,36.304539,-119.204896
1804,11.47,33.910412,-116.765723
1805,11.47,34.265879,-118.456748
1806,11.46,34.106896,-119.099535
1807,11.46,33.808267,-117.923658
1808,11.45,33.983697,-116.691398
1809,11.45,33.763905,-117.931382
1811,11.44,36.946256,-121.756479
1812,11.44,34.247556,-118.70094
1813,11.44,34.211452,-118.241036
1814,11.44,33.936193,-117.493881
1816,11.43,33.786846,-117.98202
1817,11.43,36.935538,-121.783134
1830,11.37,33.83796,-117.870494
1831,11.37,33.97216,-117.258409
1832,11.36,34.123286,-118.758541
1834,11.35,33.734005,-117.819163
1835,11.35,33.705442,-117.8236
1836,11.35,33.547238,-117.623761
1839,11.34,36.295014,-119.026031
1840,11.34,33.131156,-116.976997
1841,11.34,34.204568,-118.326365
1843,11.32,33.666942,-117.732094
1846,11.29,34.439855,-118.644401
1847,11.27,33.882614,-117.528204
1849,11.26,33.022474,-116.493688
1851,11.25,33.934335,-117.367319
1852,11.24,34.281486,-118.556005
1853,11.24,34.112272,-118.225496
1854,11.23,33.714796,-117.749139
1855,11.22,33.74822,-117.858473
1857,11.22,33.80845,-117.791737
1858,11.21,34.13658,-118.245839
1867,11.20,33.840451,-117.601961
1868,11.20,34.144557,-118.256507
1869,11.19,36.488656,-118.998043
1870,11.19,40.825486,-124.049485
1875,11.18,34.196026,-118.992531
1876,11.18,34.023728,-118.156275
1877,11.18,33.948948,-116.832362
1878,11.17,33.754048,-117.752273
1879,11.17,34.136194,-118.260934
1880,11.17,33.14709,-116.717453
1882,11.16,33.765639,-117.790075
1883,11.16,33.323221,-116.66593
1886,11.15,33.708592,-116.497622
1887,11.15,35.296958,-120.733134
1888,11.14,33.801191,-117.994904
1889,11.13,33.903134,-117.398044
1890,11.12,34.286687,-118.43508
1891,11.12,33.882579,-117.442303
1894,11.09,34.224196,-118.632394
1895,11.08,33.923381,-117.244837
1896,11.08,34.153338,-118.262974
1897,11.07,33.902045,-118.008961
1898,11.07,34.173885,-118.346937
1900,11.04,34.17051,-118.289463
1901,11.03,34.297699,-119.014558
1902,11.03,33.765471,-117.969504
1903,11.02,37.795388,-122.422453
1904,11.02,36.615624,-118.697574
1905,11.02,32.887989,-116.621354
1906,11.01,34.200834,-118.6649
1907,11.01,34.384697,-118.647244
1908,11.00,33.527867,-116.64762
1909,10.98,35.295232,-120.835468
1910,10.97,34.066117,-118.846342
1911,10.97,32.626231,-116.61002
1913,10.95,33.47512,-117.705675
1914,10.95,34.247532,-118.526076
1920,10.94,34.308729,-118.687223
1921,10.94,34.176817,-118.309323
1922,10.93,33.696122,-117.67594
1923,10.93,37.833901,-122.165034
1924,10.92,34.293338,-118.603118
1925,10.91,33.595088,-117.829038
1928,10.89,37.748272,-122.216825
1929,10.88,34.169706,-118.323548
1930,10.88,33.739709,-117.784703
1931,10.87,33.680302,-117.833295
1932,10.87,33.690715,-117.789224
1933,10.87,33.845223,-118.015292
1937,10.85,37.780853,-122.182845
1938,10.85,34.085784,-118.206666
1939,10.84,37.728895,-122.382779
1940,10.82,40.798659,-124.151583
1942,10.81,33.606497,-117.643112
1946,10.80,33.889702,-117.113427
1949,10.78,33.752468,-117.993933
1950,10.77,34.237519,-118.517712
1951,10.76,34.200175,-118.540958
1955,10.75,33.467371,-117.613509
1956,10.75,37.76046,-122.399724
1957,10.74,34.177311,-118.615704
1958,10.74,34.045105,-118.185914
1959,10.73,37.792007,-122.408575
1960,10.73,33.933565,-118.062611
1961,10.72,37.804531,-122.410852
1964,10.72,33.642512,-117.841688
1965,10.71,37.952844,-122.381974
1966,10.71,32.588866,-116.619172
1967,10.71,37.80432,-122.207545
1968,10.70,33.619672,-117.612087
1970,10.70,33.50186,-117.608646
1971,10.70,33.42411,-117.606775
1972,10.69,34.237912,-118.482306
1973,10.69,40.79088,-124.204748
