Data shown is as of Mar 6, 2022.
                                                                                     Monthly % of normal     Observed monthly                 Average Monthly
                                                                                     precipitation for       total precipitation              total precipitation
                                                                             Elev    Mar 2022
StnID  Station Name                                    State  Lat     Lon    (ft)           (%)                      (in.)                              (in.)
ESRC1  ESTRELLA - ESTRELLA, NR                          CA   35.72  120.64    672             0                       0.00                              0.39
EVGC1  EVERGREEN                                        CA   37.30  121.74    450             5                       0.03                              0.67
EXQC1  MERCED - MERCED FALLS, BLO                       CA   37.59  120.27    879            65                       0.43                              0.66
FARC1  TRUCKEE - FARAD                                  CA   39.43  120.03   5153            13                       0.11                              0.81
FAT    FRESNO                                           CA   36.78  119.72    372            53                       0.21                              0.39
FBSC1  FORBESTOWN(PGE)                                  CA   39.52  121.27   2840            10                       0.17                              1.74
FCHC1  FANCHER CREEK (CDF)                              CA   36.90  119.50    920            67                       0.37                              0.55
FDDC1  FIDDLETOWN                                       CA   38.52  120.71   2160             3                       0.03                              1.16
FGRC1  FIGUEROA MOUNTAIN                                CA   34.75  120.01   3200             8                       0.06                              0.76
FHDC1  LITTLE LAST CHANCE CK - FRENCHMAN LAKE           CA   39.89  120.19   5517            16                       0.06                              0.38
FHLC1  HUNTER LIGGETT AIRFIELD                          CA   36.01  121.24   1150             7                       0.03                              0.40
FISN2  FISH SPRINGS (BLM)                               NV   38.92  119.64   5230            65                       0.15                              0.23
FLFC1  FALLEN LEAF                                      CA   38.93  120.05   6236            32                       0.25                              0.79
FOJC1  FORT JONES                                       CA   41.60  122.85   2725            55                       0.22                              0.40
FRIC1  SAN JOAQUIN - MILLERTON LK                       CA   36.99  119.69    660            50                       0.24                              0.48
FRTC1  FOUR TREES                                       CA   39.81  121.32   5150            17                       0.33                              1.99
FSNC1  SAN DIEGO - FASHION VLY                          CA   32.77  117.17     20           178                       0.64                              0.36
FTDC1  SMITH - FORT DICK, NR                            CA   41.88  124.14      0            46                       0.94                              2.07
FTNC1  FOUNTAIN SPRINGS (CDF)                           CA   35.89  118.92    800           299                       1.26                              0.42
FTSC1  EEL - FORT SEWARD                                CA   40.22  123.63    217             6                       0.08                              1.24
FUL    FULLERTON(ASOS)                                  CA   33.87  117.98     95             0                       0.00                              0.42
GARC1  SISQUOC - GAREY                                  CA   34.89  120.31    355             2                       0.01                              0.54
GBRC1  SANTA YNEZ - GILBRALTAR RES                      CA   34.52  119.68   1550             1                       0.01                              0.82
GCDC1  PALM CANYON WASH - CATHEDRAL CITY, NR            CA   33.80  116.48    320             0                       0.00                              0.09
GDLC1  GOLD LAKE                                        CA   39.67  120.62   6920            19                       0.37                              1.92
GDPC1  ALAMITOS                                         CA   37.24  121.87    184            14                       0.08                              0.59
GEOC1  GEORGETOWN RANGER STATION                        CA   38.92  120.79   3011             4                       0.07                              1.62
GGRC1  GLORIA GRADE                                     CA   36.53  121.27   2343            18                       0.12                              0.68
GIOC1  PEABODY RANCH                                    CA   37.05  121.51    472             6                       0.05                              0.81
GKSC1  GREEK STORE                                      CA   39.07  120.56   5580            24                       0.42                              1.73
GNFC1  GIANT FOREST (COE)                               CA   36.56  118.77   6650            88                       1.01                              1.14
GNLC1  GIANELLI                                         CA   38.20  119.89   8400             8                       0.13                              1.59
GNSC1  GREEN SPRING (CDF)                               CA   37.83  120.50    999            57                       0.44                              0.77
GOYC1  CASTRO VALLEY                                    CA   36.96  121.61    754             1                       0.01                              0.83
GRBO3  GERBER RESERVOIR OR - RAWS                       OR   42.21  121.14   4940            20                       0.07                              0.34
GRDC1  GIRARD                                           CA   41.13  122.28   4800             0                       0.00                              1.73
GRHC1  GRANITE HILLS                                    CA   32.80  116.92    533           156                       0.76                              0.49
GRMC1  GREEN MOUNTAIN                                   CA   37.55  119.24   7900            61                       0.73                              1.20
GRMN2  GREEN MOUNTAIN                                   NV   40.38  115.53   8186           111                       0.70                              0.63
GRPN2  GRANITE PEAK                                     NV   41.67  117.57   8543            38                       0.33                              0.86
GTMC1  GOAT MOUNTAIN                                    CA   37.27  119.54   4520            76                       0.80                              1.06
GUPC1  GUADALUPE WATERSHED                              CA   37.19  121.89   1680             9                       0.08                              0.92
GVYC1  GRAVEYARD MEADOW                                 CA   37.47  119.27   6900            72                       0.82                              1.14
HATC1  HAT CREEK PH #1 (PGE)                            CA   40.93  121.54   3015           150                       0.75                              0.50
HDZC1  HERNANDEZ (CDF)                                  CA   36.38  120.85   3500            10                       0.07                              0.68
HGNC1  HAGANS MEADOW                                    CA   38.85  119.94   7776            36                       0.40                              1.10
HIDC1  FRESNO - HIDDEN DAM                              CA   37.10  119.88   2580            59                       0.26                              0.44
HIMN2  HOLE-IN-MOUNTAIN                                 NV   40.94  115.10   8199            37                       0.24                              0.64
HJO    HANFORD ASOS                                     CA   36.32  119.63    242            51                       0.16                              0.32
HLCC1  HILLCREST                                        CA   40.87  121.88   3440            22                       0.30                              1.35
HMGC1  HUMBUG                                           CA   40.12  121.37   6500            34                       0.61                              1.79
HNTC1  HUNTINGTON LAKE                                  CA   37.23  119.22   7020           100                       1.26                              1.27
HNZC1  SAN BENITO - HERNANDEZ RES                       CA   36.39  120.84   2412            10                       0.07                              0.69
HONC1  HONEYDEW                                         CA   40.24  124.13    370            14                       0.28                              2.04
HPYC1  HAPPY CAMP RANGER STA                            CA   41.80  123.38   1120            18                       0.22                              1.22
HRZC1  HIRZ                                             CA   40.90  122.25   3200             3                       0.04                              1.54
HSSC1  HOSSACK (COE)                                    CA   36.18  118.62   7100           110                       1.57                              1.43
HWD    HAYWARD(ASOS)                                    CA   37.65  122.11     43            16                       0.08                              0.51
HWKC1  HAWKEYE (CDF)                                    CA   38.73  122.84   2024             9                       0.11                              1.18
HYFC1  HAYFORK RAWS                                     CA   40.55  123.17   2323            10                       0.13                              1.35
ICKC1  INDEPENDENCE CK                                  CA   39.49  120.28   6456            14                       0.14                              0.99
ICPC1  INDEPENDENCE CK - INDEPENDENCE CAMP              CA   39.45  120.29   7003            14                       0.15                              1.09
INVC1  NF CACHE CK - INDIAN VLY DAM                     CA   39.08  122.53   1480            32                       0.19                              0.59
IPL    IMPERIAL                                         CA   32.83  115.58      0             0                       0.00                              0.07
IRGC1  KLAMATH - IRON GATE DAM, BLO                     CA   41.93  122.44   2162            42                       0.12                              0.28
ISAC1  KERN - ISABELLA DAM, BLO                         CA   35.63  118.48   2515           100                       0.42                              0.42
JAPN2  JACKS PEAK                                       NV   41.53  116.01   8420            37                       0.35                              0.94
JCUN2  JACK CREEK UPPER                                 NV   41.55  116.00   7382            67                       0.47                              0.70
JNRC1  JOHNSON CAMP                                     CA   37.67  121.60   2042            15                       0.06                              0.41
JONC1  JOHNSON RANCH                                    CA   37.22  121.93    755            15                       0.12                              0.80
JPRC1  JUNIPER CREEK (BLM)                              CA   41.33  120.47   4372           109                       0.32                              0.29
KCYC1  SAN LORENZO CK - BITTERWATER, BLO                CA   36.27  121.07    431            25                       0.11                              0.43
KEAC1  KEARNY MESA                                      CA   32.83  117.13    455           159                       0.65                              0.41
KNXC1  KNOXVILLE CREEK (BLM)                            CA   38.86  122.42   2550            20                       0.22                              1.09
KRKC1  KETTLE ROCK                                      CA   40.13  120.72   7300            48                       0.31                              0.64
KRNC1  KERNVILLE (USFS)                                 CA   35.76  118.42   2720            53                       0.22                              0.41
KSPC1  KAISER POINT                                     CA   37.30  119.10   9131            92                       1.25                              1.36
KTLC1  KETTLEMAN HILLS                                  CA   36.03  120.06    810           233                       0.47                              0.20
LAMC1  EF RUSSIAN - COYOTE DAM                          CA   39.20  123.19    670             9                       0.09                              1.03
LARC1  LAPACHET RANCH                                   CA   38.03  120.98    260             8                       0.04                              0.48
LAS    LAS VEGAS INTL AIRPORT                           NV   36.08  115.15   2162             0                       0.00                              0.09
LAX    LOS ANGELES INTL AIRPORT                         CA   33.94  118.39     97             0                       0.00                              0.36
LEGC1  SF EEL - LEGGETT                                 CA   39.87  123.72    700             4                       0.08                              1.91
LEXC1  LOS GATOS CK - LEXINGTON RES                     CA   37.20  121.99    665             9                       0.09                              1.02
LGB    LONG BEACH AIRPORT                               CA   33.81  118.15     31             3                       0.01                              0.36
LGSC1  LOG SPRING                                       CA   39.83  122.79   5100             5                       0.05                              1.03
LIJC1  LITTLEJOHN CK-FARMINGTON                         CA   37.93  121.00    105            23                       0.10                              0.44
LMLN2  LAMOILLE #3                                      NV   40.65  115.38   7700            47                       0.35                              0.74
LMPC1  LOMA PRIETA                                      CA   37.11  121.84   3788             8                       0.13                              1.56
LMSC1  LA MESA                                          CA   32.77  117.02    530           166                       0.81                              0.49
LMT    KLAMATH FALLS OR - ASOS                          OR   42.16  121.74   4090             0                       0.00                              0.25
LOBC1  LOBDELL LK                                       CA   38.44  119.37   9233            18                       0.11                              0.60
LOL    LOVELOCK ASOS                                    NV   40.07  118.57   3902            32                       0.03                              0.09
LPRC1  CARMEL - LOS PADRES RES                          CA   36.39  121.67   1058            54                       0.40                              0.74
LPTC1  LA PORTE                                         CA   39.68  120.99   5000            15                       0.38                              2.52
LPZC1  LA PANZA (CDF)                                   CA   35.38  120.19   1633             0                       0.00                              0.35
LSHC1  LAKESHORE                                        CA   40.87  122.39   1100             0                       0.00                              1.50
LSLC1  LOS ALAMOS                                       CA   34.73  120.22    800             6                       0.04                              0.62
LSNC1  LASSEN LODGE (CDF)                               CA   40.34  121.71   4159            37                       0.49                              1.32
LSPC1  LAKE SPAULDING                                   CA   39.32  120.64   5156            27                       0.58                              2.14
LSRC1  SANTA ROSA CK - CAMBRIA, NR                      CA   35.57  121.08     80             7                       0.04                              0.57
LSTC1  LAST CHANCE                                      CA   34.49  119.05   4520             5                       0.04                              0.81
LVK    LIVERMORE(ASOS)                                  CA   37.69  121.81    393             2                       0.01                              0.43
LVTC1  LEAVITT MEADOWS                                  CA   38.30  119.55   7205            11                       0.06                              0.53
LWDC1  SAN ANTONIO - LOCKWOOD, NR                       CA   35.90  121.09    795             0                       0.00                              0.41
MADC1  RUTH LAKE                                        CA   40.32  123.37   2760             7                       0.12                              1.63
MAE    MADERA(ASOS)                                     CA   36.99  120.11    253            20                       0.07                              0.35
MAGC1  MAGOON (COE)                                     CA   37.49  119.81   3150            46                       0.42                              0.91
MAMC1  MAMMOTH PASS                                     CA   37.61  119.03   9300            48                       0.69                              1.43
MAPC1  MAPEL RANCH                                      CA   36.04  120.48   2640            35                       0.12                              0.34
MAZC1  MANZANITA MOUNTAIN                               CA   34.89  120.08   3190             4                       0.03                              0.67
