Data shown is as of Mar 6, 2022.
                                                                                     Monthly % of normal     Observed monthly                 Average Monthly
                                                                                     precipitation for       total precipitation              total precipitation
                                                                             Elev    Mar 2022
StnID  Station Name                                    State  Lat     Lon    (ft)           (%)                      (in.)                              (in.)
TMDC1  KAWEAH - TERMINUS DAM                            CA   36.41  119.00    752           159                       0.71                              0.45
TMRC1  TAMARACK SUMMIT                                  CA   37.16  119.20   7613            82                       0.97                              1.18
TORC1  MT TORO                                          CA   36.55  121.63   2338            69                       0.47                              0.69
TPH    TONOPAH AP                                       NV   38.06  117.09   5430           218                       0.24                              0.11
TPKC1  THREE PEAKS                                      CA   35.85  121.32   3350            11                       0.08                              0.71
TRHC1  TRINITY RIVER HATCHERY                           CA   40.73  122.79   1860             9                       0.07                              0.81
TUMC1  TUOLUMNE MEADOWS                                 CA   37.87  119.35   8600            57                       0.44                              0.77
TWDC1  CUYAMA - TWITCHELL DAM                           CA   34.98  120.32    692             0                       0.00                              0.60
TYBO3  TAYLOR BUTTE                                     OR   42.69  121.43   5030             4                       0.02                              0.54
TYRC1  TAYLOR RIDGE                                     CA   40.92  122.82   4000             6                       0.10                              1.56
UKI    UKIAH                                            CA   39.13  123.20    626            10                       0.11                              1.07
UMNC1  MT. UMUNHUM                                      CA   37.16  121.90   3090            12                       0.18                              1.47
UTCC1  UNITED TECH CORP                                 CA   37.22  121.67    735            14                       0.12                              0.88
UVAC1  UVAS CK - UVAS RES                               CA   37.07  121.69    489             5                       0.04                              0.84
UVSC1  UVAS CANYON COUNTY PARK                          CA   37.09  121.80   1099             9                       0.11                              1.20
VBPC1  VERDI / BEACON PEAK                              CA   39.52  120.04   7320            12                       0.10                              0.81
VCB    VACAVILLE(ASOS)                                  CA   38.38  121.96    108            20                       0.13                              0.64
VGAC1  VIRGINIA LAKES RIDGE                             CA   38.07  119.23   9445            31                       0.22                              0.70
VICC1  VINEYARD CANYON                                  CA   35.86  120.60   1476             0                       0.00                              0.49
VIOC1  MANZANITA LAKE (USFS)                            CA   40.54  121.58   5660            53                       0.53                              0.99
VLSC1  VALLEY SPRINGS 2SW                               CA   38.18  120.86    831             1                       0.01                              0.68
VNOC1  VENADO                                           CA   38.61  123.02   1260            10                       0.17                              1.75
VTCC1  CENTRAL / VENTANA CONE                           CA   36.30  121.72   4750            35                       0.49                              1.39
WCFC1  WESTFALL (COE)                                   CA   37.45  119.69   4880            76                       0.88                              1.16
WDDC1  WOODLAND                                         CA   38.69  121.79     70             2                       0.01                              0.58
WDFC1  WOODFORDS                                        CA   38.77  119.81   5700            32                       0.19                              0.59
WEAC1  WEAVERVILLE RANGER STATION                       CA   40.73  122.94   2040             6                       0.06                              0.94
WEEC1  WEED (CDF)                                       CA   41.48  122.45   2930            70                       0.31                              0.45
WILC1  WILLITS HOWARD RS                                CA   39.30  123.29   1851            14                       0.19                              1.39
WISC1  COUNTY LINE (BLM)NR WILBER SPRINGS               CA   39.02  122.41   2085            36                       0.24                              0.67
WITC1  WHITMORE (CDF)                                   CA   40.62  121.90   2499            34                       0.38                              1.11
WJF    LANCASTER(ASOS)                                  CA   34.74  118.22   2369             9                       0.02                              0.22
WLMO3  WILLIAMS 1 NW                                    OR   42.23  123.29   1450            75                       0.50                              0.67
WMC    WINNEMUCCA AIRPORT                               NV   40.90  117.81   4296           392                       0.63                              0.16
WVI    WATSONVILLE(ASOS)                                CA   36.94  121.79    141            17                       0.09                              0.54
